Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Gavin Dass,Male,White,Asian (Indian),,No,No,Texas,03-01-2022,Representative,1,"1,881",12%,,,
Victor D. Dunn,Male,Black,,,No,No,Texas,03-01-2022,Representative,1,"4,554",28%,,,
"Jrmar ""JJ"" Jefferson",Male,Black,,,No,No,Texas,03-01-2022,Representative,1,"7,411",45%,,,
Stephen Kocen,Male,White,,,No,No,Texas,03-01-2022,Representative,1,"2,457",15%,,,
Robin Fulford,Female,White,,,No,No,Texas,03-01-2022,Representative,2,"17,160",100%,,,
Doc Shelby,Male,Black,,,No,No,Texas,03-01-2022,Representative,3,"8,531",38%,,,
Sandeep Srivastava,Male,Asian (Indian),,,No,No,Texas,03-01-2022,Representative,3,"13,865",62%,,,
Iro Omere,Female,Black,,,No,No,Texas,03-01-2022,Representative,4,"16,404",100%,,,
Kathleen Cordelia Bailey,Female,White,,,No,No,Texas,03-01-2022,Representative,5,"9,605",47%,,,
Tartisha Hill,Female,Black,,,No,No,Texas,03-01-2022,Representative,5,"10,689",53%,,,
Lizzie Fletcher,Female,White,,,Yes,No,Texas,03-01-2022,Representative,7,"29,579",100%,,,
Laura Jones,Female,White,,,No,No,Texas,03-01-2022,Representative,8,"14,496",100%,,,
Al Green,Male,Black,,,Yes,No,Texas,03-01-2022,Representative,9,"42,782",100%,,,
Linda Nuno,Female,Latino,,,No,No,Texas,03-01-2022,Representative,10,"20,537",100%,,,
Trey J. Hunt,Male,White,Black,,No,No,Texas,03-01-2022,Representative,12,"20,561",100%,,,
Kathleen Brown,Female,White,,,No,No,Texas,03-01-2022,Representative,13,"10,807",100%,,,
Eugene Howard,Male,Black,,,No,No,Texas,03-01-2022,Representative,14,"10,619",50%,,,
Mikal Williams,Male,White,,,No,No,Texas,03-01-2022,Representative,14,"10,691",50%,,,
Eliza Alvarado,Female,Latino,,,No,No,Texas,03-01-2022,Representative,15,"5,398",17%,,,
Julio Garza,Male,Latino,,,No,No,Texas,03-01-2022,Representative,15,"1,693",5%,,,
Ruben Ramirez,Male,Latino,,,No,No,Texas,03-01-2022,Representative,15,"9,221",28%,,,
John Villarreal Rigney,Male,White,Latino (Mexican),,No,No,Texas,03-01-2022,Representative,15,"6,268",19%,,,
Vanessa Stephanie Tijerina,Female,Latino,,,No,No,Texas,03-01-2022,Representative,15,"3,470",11%,,,
Michelle Vallejo,Female,Latino (Mexican),,,No,No,Texas,03-01-2022,Representative,15,"6,570",20%,,,
Deliris Montanez Berrios,Female,Latino (Puerto Rican),,,No,Yes,Texas,03-01-2022,Representative,16,"4,235",12%,,,
Veronica Escobar,Female,Latino (Mexican),,,Yes,No,Texas,03-01-2022,Representative,16,"30,954",88%,,,
Mary Jo Woods,Female,White,,,No,No,Texas,03-01-2022,Representative,17,"17,085",100%,,,
Sheila Jackson Lee,Female,Black,,,Yes,No,Texas,03-01-2022,Representative,18,"35,194",100%,,,
Joaquin Castro,Male,Latino (Mexican),,,Yes,No,Texas,03-01-2022,Representative,20,"33,214",100%,,,
David Anderson Jr.,Male,Black,,,No,No,Texas,03-01-2022,Representative,21,"3,038",9%,,,
Coy Gee Branscum II,Male,White,,,No,No,Texas,03-01-2022,Representative,21,"3,157",9%,,,
Cherif Gacis,Male,Latino,,,No,No,Texas,03-01-2022,Representative,21,902,3%,,,
Scott William Sturm,Male,White,,,No,No,Texas,03-01-2022,Representative,21,"1,865",5%,,,
Ricardo Villarreal,Male,Latino (Mexican),,,No,No,Texas,03-01-2022,Representative,21,"9,590",27%,,,
Claudia Andreana Zapata,Female,Latino,,,No,No,Texas,03-01-2022,Representative,21,"16,604",47%,,,
Jamie Kaye Jordan,Female,White,,,No,No,Texas,03-01-2022,Representative,22,"20,818",100%,,,
Priscilla Golden,Female,Unknown,,,No,No,Texas,03-01-2022,Representative,23,"15,664",44%,,,
John Lira,Male,Latino (Mexican),,,No,No,Texas,03-01-2022,Representative,23,"19,816",56%,,,
Kathy Fragnoli,Female,White,,,No,No,Texas,03-01-2022,Representative,24,"8,139",28%,,,
Derrik T. Gay,Male,White,,,No,No,Texas,03-01-2022,Representative,24,"9,571",33%,,,
Jan McDowell,Female,White,,,No,No,Texas,03-01-2022,Representative,24,"11,467",39%,,,
Victor Melgoza,Male,Latino,,,No,No,Texas,03-01-2022,Representative,27,"3,289",15%,,,
Maclovio Perez Jr.,Male,Latino,,,No,No,Texas,03-01-2022,Representative,27,"13,044",59%,,,
Anthony J. Tristan,Male,Latino,,,No,No,Texas,03-01-2022,Representative,27,"5,733",26%,,,
Tannya Judith Benavides,Female,Latino,,,No,Yes,Texas,03-01-2022,Representative,28,"2,324",5%,,,
Jessica Cisneros,Female,Latino (Mexican),,,No,Yes,Texas,03-01-2022,Representative,28,"22,983",47%,,,
Henry Cuellar,Male,Latino (Mexican),,,Yes,No,Texas,03-01-2022,Representative,28,"23,988",49%,,,
Sylvia Garcia,Female,Latino (Mexican),,,Yes,No,Texas,03-01-2022,Representative,29,"19,402",100%,,,
Jasmine Crockett,Female,Black,,,No,No,Texas,03-01-2022,Representative,30,"26,798",48%,,,
Arthur Dixon,Male,Black,,,No,No,Texas,03-01-2022,Representative,30,677,1%,,,
Jane Hope Hamilton,Female,Black,,,No,No,Texas,03-01-2022,Representative,30,"9,436",17%,,,
Vonciel Jones Hill,Female,Black,,,No,No,Texas,03-01-2022,Representative,30,"1,886",3%,,,
Keisha Williams-Lankford,Female,Black,,,No,No,Texas,03-01-2022,Representative,30,"4,323",8%,,,
Barbara Mallory Caraway,Female,Black,,,No,No,Texas,03-01-2022,Representative,30,"4,277",8%,,,
Jessica Mason,Female,Black,,,No,No,Texas,03-01-2022,Representative,30,"1,858",3%,,,
Abel Mulugheta,Male,Black (Eritrean),,,No,No,Texas,03-01-2022,Representative,30,"3,284",6%,,,
Roy Williams Jr.,Male,Black,,,No,No,Texas,03-01-2022,Representative,30,"2,746",5%,,,
Colin Allred,Male,Black,,,Yes,No,Texas,03-01-2022,Representative,32,"31,805",100%,,,
Carlos Quintanilla,Male,Latino,,,No,Yes,Texas,03-01-2022,Representative,33,"7,373",30%,,,
Marc Veasey,Male,Black,,,Yes,No,Texas,03-01-2022,Representative,33,"16,806",70%,,,
Laura Cisneros,Female,Latino,,,No,Yes,Texas,03-01-2022,Representative,34,"8,456",23%,,,
Vicente Gonzalez,Male,Latino,,,Yes,No,Texas,03-01-2022,Representative,34,"23,531",65%,,,
Filemon Meza,Male,Latino,,,No,Yes,Texas,03-01-2022,Representative,34,920,3%,,,
Beatriz Reynoso,Female,Latino,,,No,Yes,Texas,03-01-2022,Representative,34,"1,287",4%,,,
Osbert Rodriguez Haro,Male,Latino,,,No,Yes,Texas,03-01-2022,Representative,34,331,1%,,,
William Thompson,Male,White,,,No,Yes,Texas,03-01-2022,Representative,34,"1,085",3%,,,
Diego Zavala,Male,Latino (Mexican),,,No,Yes,Texas,03-01-2022,Representative,34,718,2%,,,
Greg Casar,Male,Latino (Mexican),,,No,No,Texas,03-01-2022,Representative,35,"25,505",61%,,,
Eddie Rodriguez,Male,Latino (Mexican),,,No,No,Texas,03-01-2022,Representative,35,"6,526",16%,,,
Carla-Joy Sisco,Female,Black,,,No,No,Texas,03-01-2022,Representative,35,"3,190",8%,,,
Rebecca Viagran,Female,Latino,,,No,No,Texas,03-01-2022,Representative,35,"6,511",16%,,,
Jon Haire,Male,White,,,No,No,Texas,03-01-2022,Representative,36,"16,589",100%,,,
"Quinton ""Q"" Beaubouef",Male,White,,,No,Yes,Texas,03-01-2022,Representative,37,804,1%,,,
Lloyd Doggett,Male,White,,,Yes,No,Texas,03-01-2022,Representative,37,"60,007",79%,,,
